date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:00:00	1337/1337	---M-Z	404	error ('Not%20Found')	text/html	etag:1754608490-ssl-df	https://oeveeentimdotttk2.netlify.app/robots.txt		(from )
02:00:00	16256/16256	---MCZ	200	added ('OK')	text/html	etag:%229899da06346250e3329631165cfad4ce-ssl-df%22	https://oeveeentimdotttk2.netlify.app/	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/index.html	(from )
02:00:01	2959/2959	---MCZ	200	added ('OK')	text/css	etag:%220835eefda4b21a157a8fd2eaead97031-ssl-df%22	https://oeveeentimdotttk2.netlify.app/css/main.css	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/css/main.css	(from https://oeveeentimdotttk2.netlify.app/)
02:00:01	2225/2225	---M-Z	200	added ('OK')	text/css	etag:%2215a111eaf62d25da70dfd4deccda13b6-ssl-df%22	https://oeveeentimdotttk2.netlify.app/css/quiz.css	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/css/quiz.css	(from https://oeveeentimdotttk2.netlify.app/)
02:00:02	1432/1432	---M-Z	200	added ('OK')	text/css	etag:%2233f0318a5006376140cb5255f8ada3a4-ssl-df%22	https://oeveeentimdotttk2.netlify.app/css/modal.css	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/css/modal.css	(from https://oeveeentimdotttk2.netlify.app/)
02:00:02	835/835	---M--	200	added ('OK')	text/css	etag:%228e0d3e8ae595581d89eb87ed57ac82c3-ssl%22	https://oeveeentimdotttk2.netlify.app/css/animations.css	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/css/animations.css	(from https://oeveeentimdotttk2.netlify.app/)
02:00:09	6501/6501	---M-Z	200	added ('OK')	text/css	etag:%224c688f05f99ebc13357bb1af6a935cd8-ssl-df%22	https://oeveeentimdotttk2.netlify.app/css/pages.css	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/css/pages.css	(from https://oeveeentimdotttk2.netlify.app/)
02:00:09	1255/1255	---M-Z	200	added ('OK')	application/javascript	etag:%223018bbd16ba7eaeda960f33b945dfcd3-ssl-df%22	https://oeveeentimdotttk2.netlify.app/js/utils.js	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/js/utils.js	(from https://oeveeentimdotttk2.netlify.app/)
02:00:10	3186/3186	---MCZ	200	added ('OK')	application/javascript	etag:%226eb46c6506e15b663bbe0c7205dd9ec4-ssl-df%22	https://oeveeentimdotttk2.netlify.app/js/confetti.js	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/js/confetti.js	(from https://oeveeentimdotttk2.netlify.app/)
02:00:10	4246/4246	---M-Z	200	added ('OK')	application/javascript	etag:%22b4dfff0a3fe26ac658816e7ba4418dec-ssl-df%22	https://oeveeentimdotttk2.netlify.app/js/rewards.js	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/js/rewards.js	(from https://oeveeentimdotttk2.netlify.app/)
02:00:11	6160/6160	---MCZ	200	added ('OK')	application/javascript	etag:%227359ae9e0e889235ffc626b9d0751843-ssl-df%22	https://oeveeentimdotttk2.netlify.app/js/quiz.js	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/js/quiz.js	(from https://oeveeentimdotttk2.netlify.app/)
02:00:11	25741/25741	---M-Z	200	added ('OK')	application/javascript	etag:%22712086005274cdf9bfb8a02068856902-ssl-df%22	https://oeveeentimdotttk2.netlify.app/js/pages.js	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/js/pages.js	(from https://oeveeentimdotttk2.netlify.app/)
02:00:12	237/237	---M--	200	added ('OK')	application/javascript	etag:%22ddd15b54877231517a50e6bf51139618-ssl%22	https://oeveeentimdotttk2.netlify.app/js/app.js	C:/Meus%20Sites/teste/oeveeentimdotttk2.netlify.app/js/app.js	(from https://oeveeentimdotttk2.netlify.app/)
